Year,Salina_Employment,Salina_Unemployment,Smoke_Estimate,AQI
1990,22082.666666666668,902.25,0.1200770777051477,8.809695943262282
1991,22907.333333333332,921.0833333333334,0.3832747759286646,8.814122926148343
1992,23572.0,914.6666666666666,0.180286884368159,8.818549909034406
1993,23461.0,1010.3333333333334,0.2640688054095843,8.822976891920467
1994,23131.25,845.8333333333334,0.421309421338964,8.827403874806528
1995,24488.25,1037.5,0.2061521384163871,10.949089298707284
1996,24949.583333333332,963.8333333333334,1.1598187909751652,9.450683555216395
1997,24814.416666666668,954.8333333333334,0.0778857819804218,8.840684823464713
1998,24696.25,862.3333333333334,1.4459695900735452,16.526061470586637
1999,25050.833333333332,761.0,0.3215918551229828,15.581842448173091
2000,24385.916666666668,816.8333333333334,0.5830923734487422,14.052486443989986
2001,24089.916666666668,982.3333333333334,0.1947840088850417,15.907033072338852
2002,24200.166666666668,1079.75,0.7151222493432301,18.181096778072583
2003,24161.083333333332,1221.8333333333333,0.4335850182492292,16.559566726280142
2004,24537.0,1316.4166666666667,0.2065056465253498,13.997674448963709
2005,24366.416666666668,1185.6666666666667,0.4296677816754294,16.78301657926797
2006,24737.583333333332,1024.1666666666667,1.0386523811497337,15.809259181225183
2007,24668.583333333332,957.75,0.7453047122719421,14.57675440240449
2008,25492.083333333332,1063.9166666666667,0.3626647299822371,18.87793013129498
2009,25310.666666666668,1554.75,1.8224518228427564,19.792926460821345
2010,24640.666666666668,1757.8333333333333,0.1850850308627844,27.94346647098143
2011,24649.25,1726.75,1.759056604850123,26.842567207284947
2012,24650.666666666668,1652.4166666666667,0.9186215511280892,25.217599972521167
2013,25134.25,1352.8333333333333,0.2612998429687258,22.298983564003876
2014,24992.5,1132.6666666666667,2.177868090986532,23.24585066087309
2015,25286.416666666668,1022.25,1.3265049495527177,21.680951863237222
2016,24715.5,987.6666666666666,2.132324518503999,21.01492515072565
2017,25262.0,857.9166666666666,3.4114947031400864,23.05488876743061
2018,25087.833333333332,817.0,0.8903862897185715,23.4865201115219
2019,25108.166666666668,827.4166666666666,0.1330077668614965,22.5135035309904
2020,23801.333333333332,1425.1666666666667,0.3474045198934174,23.14229068582781
